iter	RMSE
0	22.24516258
1	22.14904767
2	22.02417789
3	21.96042617
4	21.93885288
5	21.82076624
6	21.74461203
7	21.6265719
8	21.51970027
9	21.41434674
10	21.33895065
11	21.2305204
12	21.16551321
13	21.08202734
14	20.99518319
15	20.91049292
16	20.83597213
17	20.77855009
18	20.70809364
19	20.62663209
20	20.55431324
21	20.51405781
22	20.45919157
23	20.39418637
24	20.31577495
25	20.24718534
26	20.18332961
27	20.12047867
28	20.07130216
29	19.99141609
30	19.91997417
31	19.87479064
32	19.80525486
33	19.75775396
34	19.70489725
35	19.65325987
36	19.60755834
37	19.54869717
38	19.51694687
39	19.45671128
40	19.41385432
41	19.36592504
42	19.32584117
43	19.28777757
44	19.23578515
45	19.21083216
46	19.19081648
47	19.13561484
48	19.08224286
49	19.06199569
50	18.99949575
51	18.96294223
52	18.92893581
53	18.89674112
54	18.86840389
55	18.82743663
56	18.77927338
57	18.75392527
58	18.70299902
59	18.66891733
60	18.63132254
61	18.57261545
62	18.53839793
63	18.49599768
64	18.44656939
65	18.40299425
66	18.37622365
67	18.32157871
68	18.28076796
69	18.25496355
70	18.21637567
71	18.17213378
72	18.13995521
73	18.11176962
74	18.094013
75	18.04423259
76	18.00661774
77	17.96046573
78	17.93225718
79	17.90818149
80	17.87556034
81	17.84587774
82	17.80110323
83	17.78165679
84	17.75433199
85	17.72811158
86	17.70853221
87	17.68380348
88	17.65269587
89	17.62791016
90	17.6133594
91	17.60045322
92	17.56952289
93	17.55592807
94	17.5282668
95	17.51653352
96	17.48876627
97	17.48027652
98	17.45729605
99	17.43787888
100	17.40805471
101	17.39447348
102	17.37487579
103	17.35662399
104	17.33743252
105	17.30375695
106	17.27022457
107	17.23974974
108	17.2085969
109	17.17848215
110	17.16036547
111	17.1389286
112	17.12319834
113	17.1092627
114	17.07877695
115	17.0608643
116	17.03579493
117	17.01267795
118	16.99739455
119	16.97078493
120	16.95728675
121	16.93860565
122	16.92164526
123	16.89475278
124	16.88258969
125	16.87000078
126	16.85510349
127	16.82830349
128	16.80981487
129	16.79689329
130	16.77351741
131	16.76189733
132	16.73775285
133	16.72031965
134	16.70653288
135	16.69075423
136	16.66913648
137	16.65499248
138	16.64019087
139	16.62354137
140	16.6124479
141	16.59611068
142	16.58129729
143	16.56196299
144	16.54687486
145	16.53654263
146	16.52013012
147	16.50218568
148	16.48919915
